spp,emmean,SE,df,lower.CL,upper.CL,.group
gm_pc,0.005596396524106411,4.7976768249585744e-4,32,0.004326533640067725,0.006866259408145097, a   
pc,0.009249198089321417,4.7976768249585733e-4,32,0.007979335205282732,0.010519060973360101,  b  
cr,0.013975866493103263,4.7976768249585733e-4,32,0.012706003609064577,0.01524572937714195,   c 
ar,0.017946311082515192,4.797676824958575e-4,32,0.016676448198476506,0.019216173966553878,    d
