soil_block,spp,row_no,term,estimate,std.error,statistic,p.value
1,AR,99999,days,-0.01131341487756484,0.002073218134059242,-5.456934169977485,1.987419903019678e-4
1,CR,99999,days,-0.008084252930049728,0.0012833043430517867,-6.299560173563205,5.841004749854777e-5
1,GM_PC,99999,days,-0.004520668991061585,8.265078407264705e-4,-5.46960206340944,1.949734640321796e-4
1,PC,99999,days,-0.007701419833612796,0.0018475168889074372,-4.168524726270389,0.0015666174318709751
2,AR,99999,days,-0.010572054372241197,0.0017341401407524849,-6.096424460628499,5.365195150857886e-5
2,CR,99999,days,-0.010194495156518409,0.001657135708289147,-6.151877064458025,4.9322603393205185e-5
2,GM_PC,99999,days,-0.0039049965050411096,9.457062774426533e-4,-4.129185348754233,0.0011865102620666926
2,PC,99999,days,-0.005986746448921581,6.99098153301461e-4,-8.563527768811042,1.0531848718848697e-6
