soil_block,spp,row_no,term,estimate,std.error,statistic,p.value
1,AR,1,days,-0.005945474359061749,0.001223877472758727,-4.857899987047011,0.002828870698453063
1,AR,2,days,-0.0013594128831861468,0.0027571139561185978,-0.49305647311723644,0.6394963221123078
1,AR,3,days,-0.008007089802621454,9.705141969694484e-4,-8.250358240636345,0.0011772765884383413
1,AR,4,days,-0.006345398237017965,0.0010450093008160586,-6.072097379480525,9.058559991409405e-4
1,AR,5,days,-0.007011163925334168,9.793411610496193e-4,-7.1590618307310585,8.265425117222932e-4
1,CR,1,days,-0.004156229740005178,4.082914868527035e-4,-10.179565026063333,5.232556440669338e-5
1,CR,2,days,-0.002333801824592038,0.001344764601626656,-1.7354723806449257,0.13334242995620893
1,CR,3,days,-0.004673468654354481,9.05727063069806e-4,-5.159908370756377,0.006698446260414374
1,CR,4,days,-0.0036338903866824698,0.0017128559751941718,-2.1215387862780037,0.07811716837050235
1,CR,5,days,-0.005580908661500769,0.0010775191143440183,-5.17940571745529,0.00660902305857841
1,GM_PC,1,days,-0.0013936549273319467,7.018617543352347e-4,-1.9856544664582,0.09428214088942453
1,GM_PC,2,days,-0.0027769603812733633,4.978107274445009e-4,-5.5783458012823885,0.0014086972225417257
1,GM_PC,3,days,-0.0018298701035046037,5.375451625076056e-4,-3.404123469307034,0.027173936789839027
1,GM_PC,4,days,-0.0010151434636861386,5.498447031052142e-4,-1.8462366882015562,0.11438519036038916
1,GM_PC,5,days,-0.0012303726448785893,8.516038044571821e-4,-1.4447711934105754,0.20813764118264005
1,PC,1,days,-0.0021705331851794483,9.10831221818963e-4,-2.3830245748985357,0.054542623867191456
1,PC,2,days,-0.003072755067908989,6.973129256161605e-4,-4.406565481621953,0.0045361272716406
1,PC,3,days,-0.00281753691536158,0.0010745251343445969,-2.6221228571634367,0.05866858986337322
1,PC,4,days,-0.006417316339316931,0.0016513216269179788,-3.8861698621934653,0.008112579041553806
1,PC,5,days,-0.003010266280351421,8.534598526898677e-4,-3.5271328473904195,0.016790966321650874
2,AR,6,days,-0.005120828902419201,0.0020713229644999344,-2.4722503396062567,0.0563743399265056
2,AR,7,days,-0.007911334520703037,0.0022283279253596665,-3.5503457236555955,0.012067013495473856
2,AR,8,days,-0.007796460261401616,0.0016551605314727524,-4.710395223395262,0.005287754772524937
2,AR,9,days,-0.00765988127020424,0.0010682681601300913,-7.170373091781971,3.71574213335821e-4
2,AR,10,days,-0.004872998796523352,0.0029827288865269044,-1.6337384260885615,0.15343243981600674
2,CR,5,days,NA,NA,NA,NA
2,CR,6,days,-0.005713499371439738,0.0014056310381432664,-4.064721976392072,0.006615122435093864
2,CR,7,days,-0.0050356927279681845,0.0015968122904184356,-3.153590912460105,0.01972466123020314
2,CR,8,days,-0.005201242907054582,9.210311064140451e-4,-5.647195703633909,0.0013223547615728627
2,CR,9,days,-0.006398101677479204,0.001299155140975757,-4.924817272149482,0.0026439559985431994
2,CR,10,days,-0.007636814863661552,0.002148079414210466,-3.555182742844956,0.011996717496983063
2,GM_PC,6,days,-0.002740757400679313,3.7154181742039496e-4,-7.3767131239985835,3.182199463742497e-4
2,GM_PC,7,days,-0.0027794339804469454,5.046452363118962e-4,-5.507698835641272,0.0015040406219199397
2,GM_PC,8,days,-0.0022332876325782294,0.0013783231092520066,-1.6202932516964024,0.1562963887371536
2,GM_PC,9,days,-0.003697685384916102,5.611511807439691e-4,-6.5894637876618996,0.0012090576564866928
2,GM_PC,10,days,-0.0025574527309379404,5.57258637972532e-4,-4.589346053463958,0.0037336065073893957
2,PC,6,days,-0.002663984959040728,0.001085735671178976,-2.4536220276782164,0.05767894920285409
2,PC,7,days,-0.0038860643739324044,0.0011744086737365271,-3.3089540811789204,0.016225856989806407
2,PC,8,days,-0.0033409354676725584,0.0010959259945362869,-3.0485046292621156,0.02255517408544055
2,PC,9,days,-0.003424083216840983,5.157186298981227e-4,-6.639440614191874,5.633812703508328e-4
2,PC,10,days,-0.0031498065351708276,0.0012515134632977978,-2.5167979630606103,0.04548342760489473
