id,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,mass_sent_g,row_no,pct_mass_remain,pct_mass_remain_corr,prop_n,prop_c,total_n_g
351,AR,22.624,12.94,28,2,F,NA,NA,NA,6,57.1958981612447,57.1958981612447,NA,NA,NA
312,AR,23.793,13.429,28,2,G,NA,NA,NA,7,56.440970033203044,56.440970033203044,NA,NA,NA
376,AR,22.661,12.436,28,2,H,NA,NA,NA,8,54.87842548872513,54.87842548872513,NA,NA,NA
340,AR,22.854,14.418,28,2,I,NA,NA,NA,9,63.087424520871615,63.087424520871615,NA,NA,NA
353,AR,23.101,12.535,28,2,J,NA,NA,NA,10,54.26172027184971,54.26172027184971,NA,NA,NA
318,AR,23.61,14.397,35,1,A,1.67,28.1,0.1071,1,60.978398983481576,60.978398983481576,0.0167,0.281,0.2404299
334,AR,22.405,18.087,35,1,B,1.79,26.1,0.1439,2,80.72751617942423,80.72751617942423,0.0179,0.261,0.32375729999999997
378,AR,22.992,17.141,35,1,C,1.7,30.4,0.1195,3,74.55201809324981,74.55201809324981,0.017,0.304,0.291397
350,AR,23.707,14.635,35,1,D,1.75,33.4,0.107,4,61.732821529506055,61.732821529506055,0.0175,0.33399999999999996,0.2561125
348,AR,23.156,14.896,35,1,E,1.83,31.4,0.1266,5,64.32889963724305,64.32889963724305,0.0183,0.314,0.27259680000000003
368,AR,22.724,12.361,35,2,G,1.93,37,0.1045,7,54.396233057560295,54.396233057560295,0.019299999999999998,0.37,0.23856729999999998
309,AR,23.406,12.381,35,2,H,2,34.4,0.1069,8,52.89669315560113,52.89669315560113,0.02,0.344,0.24762
324,AR,23.05,13.547,35,2,I,1.91,37.5,0.1035,9,58.772234273318865,58.772234273318865,0.0191,0.375,0.25874769999999997
302,AR,23.855,10.467,35,2,J,2.08,36.2,0.1057,10,43.877593795849926,43.877593795849926,0.0208,0.36200000000000004,0.2177136
330,AR,22.488,13.847,49,1,A,NA,NA,NA,1,61.57506225542512,61.57506225542512,NA,NA,NA
391,AR,22.904,21.791,49,1,B,NA,NA,NA,2,95.14058679706602,95.14058679706602,NA,NA,NA
306,AR,23.012,13.922,49,1,C,NA,NA,NA,3,60.4988701547019,60.4988701547019,NA,NA,NA
317,AR,22.923,13.311,49,1,D,NA,NA,NA,4,58.06831566548881,58.06831566548881,NA,NA,NA
370,AR,23.38,13.493,49,1,E,NA,NA,NA,5,57.71171941830625,57.71171941830625,NA,NA,NA
320,AR,22.818,11.996,49,2,F,NA,NA,NA,6,52.57253045841003,52.57253045841003,NA,NA,NA
374,AR,22.659,9.281,49,2,G,NA,NA,NA,7,40.959442164261446,40.959442164261446,NA,NA,NA
356,AR,23.124,12.836,49,2,I,NA,NA,NA,9,55.50942743469989,55.50942743469989,NA,NA,NA
390,AR,23.324,9.912,49,2,J,NA,NA,NA,10,42.49699879951981,42.49699879951981,NA,NA,NA
311,AR,23.446,12.011,63,1,A,1.87,36,0.1092,1,51.22835451676191,51.22835451676191,0.0187,0.36,0.2246057
303,AR,23.976,12.633,63,1,B,1.49,25.1,0.1012,2,52.69019019019019,52.69019019019019,0.0149,0.251,0.18823169999999997
343,AR,22.499,13.456,63,1,D,1.8,33.8,0.1054,4,59.80710253789058,59.80710253789058,0.018000000000000002,0.33799999999999997,0.242208
389,AR,23.998,12.342,63,2,F,2.24,33.5,0.1065,6,51.429285773814485,51.429285773814485,0.022400000000000003,0.335,0.27646080000000006
366,AR,23.022,10.791,63,2,G,1.81,35,0.1058,7,46.87255668491009,46.87255668491009,0.0181,0.35,0.19531710000000002
357,AR,23.357,12.036,63,2,H,1.76,36.6,0.1027,8,51.53059040116453,51.53059040116453,0.0176,0.366,0.2118336
382,AR,22.831,10.933,63,2,I,2.05,35.8,0.1084,9,47.88664535061977,47.88664535061977,0.020499999999999997,0.358,0.22412649999999998
316,AR,23.229,10.739,63,2,J,2.05,34.4,0.1075,10,46.231004348013265,46.231004348013265,0.020499999999999997,0.344,0.2201495
304,AR,22.977,12.47,84,1,A,NA,NA,NA,1,54.27166296731515,54.27166296731515,NA,NA,NA
355,AR,23.567,19.784,84,1,B,NA,NA,NA,2,83.94789324054823,83.94789324054823,NA,NA,NA
328,AR,22.562,10,84,1,C,NA,NA,NA,3,44.32231185178619,44.32231185178619,NA,NA,NA
380,AR,22.423,11.608,84,1,D,NA,NA,NA,4,51.768273647594,51.768273647594,NA,NA,NA
322,AR,22.908,10.747,84,1,E,NA,NA,NA,5,46.91374192421861,46.91374192421861,NA,NA,NA
385,AR,22.648,13.556,84,2,F,NA,NA,NA,6,59.85517484987637,59.85517484987637,NA,NA,NA
363,AR,22.7,10.972,84,2,G,NA,NA,NA,7,48.33480176211454,48.33480176211454,NA,NA,NA
373,AR,23.162,9.931,84,2,H,NA,NA,NA,8,42.87626284431396,42.87626284431396,NA,NA,NA
336,AR,23.675,11.418,84,2,I,NA,NA,NA,9,48.22808870116156,48.22808870116156,NA,NA,NA
395,AR,23.486,13.519,84,2,J,NA,NA,NA,10,57.56195180107297,57.56195180107297,NA,NA,NA
298,AR,23.602,NA,NA,1,A,1.57,22,0.1103,1,NA,NA,0.015700000000000002,0.22,NA
326,AR,22.797,NA,NA,1,B,1.32,18.8,0.1307,2,NA,NA,0.0132,0.188,NA
352,AR,23.333,NA,NA,1,D,2.23,31.9,0.1016,4,NA,NA,0.0223,0.319,NA
360,AR,22.735,NA,NA,1,D,2,31.3,0.107,4,NA,NA,0.02,0.313,NA
384,AR,23.447,NA,NA,2,G,2.1,30.5,0.1098,7,NA,NA,0.021,0.305,NA
365,AR,22.722,NA,NA,2,H,2.22,31.9,0.1094,8,NA,NA,0.0222,0.319,NA
313,AR,23.972,NA,NA,2,I,1.69,24.1,0.1043,9,NA,NA,0.0169,0.24100000000000002,NA
319,AR,22.425,NA,NA,2,J,2.11,28,0.1613,10,NA,NA,0.021099999999999997,0.28,NA
301,AR,23.783,NA,NA,NA,,NA,NA,NA,99999,NA,NA,NA,NA,NA
327,AR,22.464,NA,NA,NA,,1.64,26.6,0.1178,99999,NA,NA,0.016399999999999998,0.266,NA
