spp,emmean,SE,df,lower.CL,upper.CL,.group
GM_PC,0.005638723630474804,6.918173905975008e-4,32,0.0038076014876034037,0.007469845773346205, a   
PC,0.009550386750801212,6.918173905975023e-4,32,0.007719264607929807,0.011381508893672617,  b  
CR,0.015004243122829882,6.918173905975012e-4,32,0.01317312097995848,0.016835365265701285,   c 
AR,0.018382942669503438,6.918173905975018e-4,32,0.016551820526632035,0.02021406481237484,    d
