trt,emmean,SE,df,lower.CL,upper.CL,.group
GM_PC_2,0.005444173630757042,0.001194038116780571,32,0.001949004802530643,0.008939342458983441, a 
PC_2,0.0062722809584783955,0.0011940381167805715,32,0.002777112130251995,0.009767449786704796, a 
GM_PC_1,0.007528949317555665,0.0011940381167805708,32,0.004033780489329267,0.011024118145782063, ab
CR_1,0.00951684461759595,0.0011940381167805708,32,0.006021675789369551,0.013012013445822349, ab
PC_1,0.010052302666040212,0.0011940381167805712,32,0.006557133837813812,0.013547471494266612, ab
CR_2,0.01075215162434478,0.0011940381167805715,32,0.00725698279611838,0.014247320452571181, ab
AR_1,0.012209138511425471,0.0011940381167805708,32,0.008713969683199072,0.01570430733965187,  b
AR_2,0.012639762714449247,0.0011940381167805717,32,0.009144593886222846,0.01613493154267565,  b
