trt,emmean,SE,df,lower.CL,upper.CL,.group
GM_PC_1,0.003379995363462415,5.796568653489805e-4,32,0.0016832332765888494,0.005076757450335981, a     
GM_PC_2,0.004456486162857201,5.796568653489803e-4,32,0.002759724075983636,0.006153248249730766, ab    
PC_1,0.005950730915404646,5.796568653489804e-4,32,0.004253968828531081,0.007647493002278211, abc   
PC_2,0.006588348249151272,5.796568653489803e-4,32,0.004891586162277707,0.008285110336024836,  bc   
CR_1,0.007427062558919424,5.796568653489802e-4,32,0.005730300472045859,0.009123824645792988,   cd  
AR_1,0.009874872859751936,5.796568653489801e-4,32,0.008178110772878371,0.011571634946625501,    de 
CR_2,0.010779829465909552,5.796568653489804e-4,32,0.009083067379035987,0.012476591552783117,     e 
AR_2,0.013600141203102021,5.796568653489806e-4,32,0.011903379116228454,0.015296903289975588,      f
