sp,emmean,SE,df,lower.CL,upper.CL
ar,0.010042367265226124,4.889670011234543e-4,32,0.009046374076786066,0.011038360453666182
cr,0.008737689097419768,4.889670011234541e-4,32,0.007741695908979712,0.009733682285859824
gm_pc,0.0049213409401460805,4.889670011234542e-4,32,0.003925347751706024,0.005917334128586137
pc,0.00609217874932688,4.889670011234541e-4,32,0.005096185560886824,0.007088171937766937
