trt,emmean,SE,df,lower.CL,upper.CL,.group
gm_pc_1,0.005101917039677863,7.290294751900295e-4,32,0.002967913894608496,0.0072359201847472295, a   
gm_pc_2,0.0054441772796388534,7.290294751900295e-4,32,0.003310174134569487,0.00757818042470822, a   
pc_2,0.0062722918726262405,7.290294751900298e-4,32,0.004138288727556873,0.008406295017695608, ab  
cr_1,0.007511785393550008,7.290294751900298e-4,32,0.00537778224848064,0.009645788538619375, ab  
pc_1,0.008246825794977045,7.290294751900301e-4,32,0.006112822649907677,0.010380828940046414, abc 
cr_2,0.009684355881517885,7.290294751900298e-4,32,0.007550352736448518,0.011818359026587252,  bcd
ar_1,0.011315779717934814,7.290294751900296e-4,32,0.009181776572865447,0.01344978286300418,   cd
ar_2,0.01282126301810591,7.290294751900295e-4,32,0.010687259873036543,0.014955266163175277,    d
