spp,soil_block,emmean,SE,df,lower.CL,upper.CL,.group
gm_pc,1,0.0051019170396778574,7.290294758928665e-4,32,0.002967913892551158,0.007235920186804557, a   
gm_pc,2,0.0054441772796388534,7.290294758928666e-4,32,0.0033101741325121535,0.007578180426765554, a   
pc,2,0.006272291862813567,7.290294758928667e-4,32,0.004138288715686867,0.008406295009940268, ab  
cr,1,0.007511785393550008,7.290294758928667e-4,32,0.005377782246423307,0.009645788540676707, ab  
pc,1,0.00824682579497704,7.290294758928666e-4,32,0.00611282264785034,0.01038082894210374, abc 
cr,2,0.009684355881517885,7.290294758928667e-4,32,0.007550352734391185,0.011818359028644585,  bcd
ar,1,0.011315779717934816,7.290294758928667e-4,32,0.009181776570808115,0.013449782865061516,   cd
ar,2,0.012821263018105914,7.290294758928667e-4,32,0.010687259870979213,0.014955266165232614,    d
