bag_no,spp,initial_wt_g,coll_wt_g,days,soil_block,row,row_no,pct_mass_remain,pct_mass_remain_corr
273,CR,23.094,12.616,63,2,G,7,54.62890794145665,54.62890794145665
263,CR,23.028,13.819,84,2,G,7,60.00955358693765,60.00955358693765
213,CR,22.839,NA,NA,2,G,7,NA,NA
215,CR,22.77,20.672,0,2,H,8,90.78612209046992,98.20744519046991
239,CR,22.903,20.075,7,2,H,8,87.65227262804,87.65227262804
256,CR,23.209,17.046,14,2,H,8,73.44564608557025,73.44564608557025
232,CR,22.504,15.58,21,2,H,8,69.23213650906506,69.23213650906506
229,CR,22.498,14.596,28,2,H,8,64.8768779447062,64.8768779447062
270,CR,23.54,16.308,35,2,H,8,69.27782497875955,69.27782497875955
268,CR,22.624,14.545,49,2,H,8,64.29013437057992,64.29013437057992
205,CR,22.536,12.977,63,2,H,8,57.58342208022719,57.58342208022719
247,CR,22.32,12.077,84,2,H,8,54.1084229390681,54.1084229390681
282,CR,23.044,NA,NA,2,H,8,NA,NA
283,CR,22.948,21.542,0,2,I,9,93.87310440997038,101.29442750997038
246,CR,22.809,20.458,7,2,I,9,89.69266517602699,89.69266517602699
275,CR,22.673,18.186,14,2,I,9,80.20994133991974,80.20994133991974
281,CR,22.55,16.612,21,2,I,9,73.66740576496673,73.66740576496673
243,CR,23.302,16.829,28,2,I,9,72.22126856063858,72.22126856063858
280,CR,23.836,14.503,35,2,I,9,60.84494042624602,60.84494042624602
278,CR,23.217,12.678,49,2,I,9,54.606538312443476,54.606538312443476
233,CR,23.154,13.805,63,2,I,9,59.62252742506694,59.62252742506694
266,CR,22.661,12.194,84,2,I,9,53.81051145139226,53.81051145139226
251,CR,23.315,NA,NA,2,I,9,NA,NA
276,CR,23.275,21.481,0,2,J,10,92.29215896885071,99.71348206885071
284,CR,23.323,20.375,7,2,J,10,87.36011662307594,87.36011662307594
287,CR,23.488,17.821,14,2,J,10,75.87278610354224,75.87278610354224
271,CR,23.304,16.959,21,2,J,10,72.77291452111226,72.77291452111226
202,CR,23.243,16.137,28,2,J,10,69.42735447231425,69.42735447231425
227,CR,22.49,13.585,35,2,J,10,60.404624277456655,60.404624277456655
269,CR,23.089,15.146,49,2,J,10,65.59833687037117,65.59833687037117
222,CR,23.061,9.177,63,2,J,10,39.79445817614153,39.79445817614153
295,CR,22.618,12.043,84,2,J,10,53.24520293571492,53.24520293571492
214,CR,22.993,NA,NA,2,J,10,NA,NA
118,GM_PC,24.775,24.62,0,2,F,6,99.37436932391525,99.14741862391524
147,GM_PC,24.909,23.363,7,2,F,6,93.79340800513872,93.79340800513872
178,GM_PC,24.712,22.816,14,2,F,6,92.32761411460018,92.32761411460018
181,GM_PC,24.4,21.975,21,2,F,6,90.06147540983608,90.06147540983608
193,GM_PC,24.637,21.647,28,2,F,6,87.86378211632909,87.86378211632909
187,GM_PC,24.522,20.21,35,2,F,6,82.4157899029443,82.4157899029443
107,GM_PC,25.224,21.225,49,2,F,6,84.14605137963844,84.14605137963844
116,GM_PC,23.125,17.888,63,2,F,6,77.35351351351352,77.35351351351352
120,GM_PC,22.087,17.049,84,2,F,6,77.19020238149137,77.19020238149137
192,GM_PC,24.924,NA,NA,2,F,6,NA,NA
