sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remaing,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
97,PC,23.902,13.725,63,1,4,1.97,32.9,0.32899999999999996,10.873019800000002,4.515524999999999,0.41529630986232535,41.52963098623253,0.0197,0.44744544,0.27038249999999997,0.6042803788546821,60.428037885468214
170,GM_PC,24.551,22.678,63,1,4,1.48,32.3,0.32299999999999995,10.5904077436,7.324993999999999,0.6916630763746224,69.16630763746224,0.0148,0.39170015705,0.3356344,0.8568656252980688,85.68656252980688
218,CR,23.109,15.065,63,1,4,1.74,33.3,0.33299999999999996,9.932248200000002,5.016645,0.5050865523074624,50.50865523074624,0.0174,0.33253851,0.26213099999999995,0.7882726123960799,78.82726123960799
343,AR,22.499,13.456,63,1,4,1.8,33.8,0.33799999999999997,9.2943369,4.548127999999999,0.48934400043105813,48.93440004310581,0.018000000000000002,0.38495788999999997,0.242208,0.6291805059509237,62.91805059509237
22,PC,24.076,16.434,63,2,6,2.03,39.5,0.395,10.9521724,6.491430000000001,0.5927070687820802,59.270706878208024,0.0203,0.45070272,0.3336102,0.7402001035183458,74.02001035183457
116,GM_PC,23.125,17.888,63,2,6,1.76,40.3,0.403,9.97528325,7.208864,0.7226726118278396,72.26726118278395,0.0176,0.36894896875000005,0.3148288000000001,0.853312589723833,85.3312589723833
389,AR,23.998,12.342,63,2,6,2.24,33.5,0.335,9.913573800000002,4.13457,0.4170615040965347,41.706150409653475,0.022400000000000003,0.41060578000000003,0.27646080000000006,0.6732998254432756,67.32998254432756
70,PC,25.476,17.302,63,2,7,1.56,39.4,0.394,11.5890324,6.816987999999999,0.5882275383059589,58.822753830595886,0.015600000000000001,0.47691072,0.2699112,0.565957502486,56.5957502486
157,GM_PC,24.978,19.517,63,2,7,1.65,41.5,0.415,10.7746000008,8.099554999999999,0.7517267461807042,75.17267461807042,0.0165,0.3985127499000001,0.3220305,0.8080807956101982,80.80807956101982
273,CR,23.094,12.616,63,2,7,1.88,38.8,0.388,9.9258012,4.895007999999999,0.4931599879312512,49.31599879312512,0.018799999999999997,0.33232266,0.23718079999999997,0.7137063719940132,71.37063719940132
366,AR,23.022,10.791,63,2,7,1.81,35,0.35,9.5103882,3.77685,0.39712889953324937,39.71288995332494,0.0181,0.39390642,0.19531710000000002,0.4958464500273949,49.58464500273949
43,PC,25.332,18.272,63,2,8,2.25,44,0.44,11.5235268,8.039679999999999,0.6976752985032324,69.76752985032324,0.0225,0.47421504000000003,0.41111999999999993,0.8669484628745641,86.6948462874564
189,GM_PC,24.415,19.866,63,2,8,1.69,41.6,0.416,10.531742294,8.264256000000001,0.7846997931869449,78.4699793186945,0.0169,0.38953033825,0.33573539999999996,0.8618979499987636,86.18979499987636
205,CR,22.536,12.977,63,2,8,1.78,38.7,0.387,9.6859728,5.022099,0.5184919577721713,51.849195777217126,0.0178,0.32429304000000003,0.2309906,0.7122897241334565,71.22897241334564
357,AR,23.357,12.036,63,2,8,1.76,36.6,0.366,9.6487767,4.405176,0.45655279803500887,45.65527980350089,0.0176,0.39963827,0.2118336,0.5300633495385715,53.00633495385715
92,PC,24.821,17.711,63,2,9,2.07,38.5,0.385,11.2910729,6.818734999999999,0.6039049663739217,60.39049663739217,0.0207,0.46464912,0.3666177,0.7890205409191348,78.90205409191347
190,GM_PC,24.735,18.978,63,2,9,1.57,38.4,0.384,10.669778646,7.287552000000001,0.6830087335253235,68.30087335253235,0.015700000000000002,0.39463579425,0.29795460000000007,0.7550115938323809,75.50115938323809
233,CR,23.154,13.805,63,2,9,1.88,33.5,0.335,9.9515892,4.624675,0.4647172333038023,46.47172333038023,0.018799999999999997,0.33318606,0.25953399999999993,0.7789461539897555,77.89461539897556
382,AR,22.831,10.933,63,2,9,2.05,35.8,0.358,9.4314861,3.914014,0.4149944089935095,41.49944089935095,0.020499999999999997,0.39063841,0.22412649999999998,0.573744143593048,57.3744143593048
68,PC,24.646,16.178,63,2,10,2.14,41.1,0.411,11.211465400000002,6.649158000000001,0.5930677001420349,59.306770014203494,0.021400000000000002,0.46137312,0.34620920000000005,0.7503887526000649,75.03887526000649
222,CR,23.061,9.177,63,2,10,1.59,37.8,0.37799999999999995,9.9116178,3.468905999999999,0.34998383412241735,34.998383412241736,0.0159,0.33184779,0.1459143,0.43970249131386413,43.97024913138641
316,AR,23.229,10.739,63,2,10,2.05,34.4,0.344,9.5958999,3.694216,0.38497858861574824,38.49785886157483,0.020499999999999997,0.39744819,0.2201495,0.5539074162093932,55.39074162093932
105,GM_PC,25.652,19.276,63,2,10,1.47,42.4,0.424,11.0653390672,8.173024,0.7386148721123754,73.86148721123755,0.0147,0.40926611660000006,0.2833572,0.6923544083101844,69.23544083101844
