sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
287,CR,23.488,17.821,14,2,10,1.29,42.2,0.0129,0.33799232,0.2298909,0.6801660463764384,68.01660463764384
361,AR,22.545,14.164,14,2,10,1.41,40.8,0.0141,0.38574495000000003,0.19971239999999998,0.5177317292164161,51.77317292164161
3,PC,24.081,18.301,35,1,1,1.49,42.4,0.0149,0.45079632000000003,0.27268489999999995,0.6048960204466619,60.48960204466619
143,GM_PC,24.86,20.043,35,1,1,1.68,44.1,0.0168,0.396630113,0.3367224,0.8489582332847229,84.89582332847229
289,CR,22.74,16.427,35,1,1,1.47,34.1,0.0147,0.3272286,0.2414769,0.7379455829961074,73.79455829961074
318,AR,23.61,14.397,35,1,1,1.67,28.1,0.0167,0.40396709999999997,0.2404299,0.5951719830649576,59.51719830649576
1,PC,23.578,17.166,35,1,2,1.73,39.4,0.0173,0.44138016,0.2969718,0.6728254391860296,67.28254391860295
173,GM_PC,24.743,22.277,35,1,2,1.42,34.6,0.014199999999999999,0.39476343065,0.3163334,0.8013239713697375,80.13239713697375
242,CR,22.848,18.481,35,1,2,1.23,37.2,0.0123,0.32878272,0.22731630000000003,0.691387613071636,69.1387613071636
334,AR,22.405,18.087,35,1,2,1.79,26.1,0.0179,0.38334955000000004,0.32375729999999997,0.8445485327946777,84.45485327946777
18,PC,24.141,19.904,35,1,3,1.6,43,0.016,0.45191951999999996,0.318464,0.7046918442469581,70.46918442469581
155,GM_PC,24.533,21.675,35,1,3,1.38,42.4,0.0138,0.39141297515000006,0.299115,0.7641928576470186,76.41928576470185
231,CR,22.712,16.531,35,1,3,1.5,35,0.015,0.32682568,0.24796499999999996,0.758707210522747,75.8707210522747
378,AR,22.992,17.141,35,1,3,1.7,30.4,0.017,0.39339312000000004,0.291397,0.7407272399679994,74.07272399679994
81,PC,23.526,21.464,35,1,4,1.41,38.8,0.0141,0.44040672000000003,0.3026424,0.687188424372816,68.71884243728161
141,GM_PC,24.393,20.718,35,1,4,1.54,43.1,0.0154,0.38917933815000005,0.3190572,0.8198205010488683,81.98205010488682
199,CR,22.932,16.329,35,1,4,1.48,37.9,0.0148,0.32999148,0.24166920000000003,0.7323498170316398,73.23498170316398
350,AR,23.707,14.635,35,1,4,1.75,33.4,0.0175,0.40562677,0.2561125,0.6313994019674787,63.139940196747865
24,PC,24.783,19.087,35,1,5,1.51,38.4,0.0151,0.46393776000000003,0.2882137,0.6212335464998581,62.12335464998581
164,GM_PC,24.477,20.878,35,1,5,1.29,42.7,0.0129,0.39051952035000004,0.2693262,0.6896612997952536,68.96612997952536
244,CR,22.986,17.387,35,1,5,1.27,34.2,0.0127,0.33076854,0.2208149,0.6675813243907659,66.75813243907659
348,AR,23.156,14.896,35,1,5,1.83,31.4,0.0183,0.39619916,0.27259680000000003,0.6880297272715067,68.80297272715067
80,PC,24.857,18.47,35,2,6,1.8,43.1,0.018000000000000002,0.46532304,0.33246000000000003,0.7144713917453991,71.44713917453991
187,GM_PC,24.522,20.21,35,2,6,1.47,39.3,0.0147,0.3912374751,0.297087,0.7593521043045909,75.9352104304591
359,CR,22.751,13.387,35,2,6,1.73,33.1,0.0173,0.32738689000000004,0.2315951,0.7074049299897133,70.74049299897133
93,PC,25.115,16.613,35,2,7,2.49,45,0.024900000000000002,0.4701528,0.4136637,0.8798494872305345,87.98494872305345
129,GM_PC,24.729,19.818,35,2,7,1.46,41.7,0.0146,0.39454006695000005,0.2893428,0.7333673414636196,73.33673414636196
265,CR,22.356,13.579,35,2,7,1.68,38.9,0.0168,0.32170284000000005,0.2281272,0.709123985352445,70.9123985352445
368,AR,22.724,12.361,35,2,7,1.93,37,0.019299999999999998,0.38880764,0.23856729999999998,0.6135869655236198,61.35869655236198
19,PC,25.155,18.18,35,2,8,1.64,45.3,0.016399999999999998,0.47090160000000003,0.298152,0.633151384493066,63.315138449306595
142,GM_PC,24.815,16.707,35,2,8,1.5,43.2,0.015,0.39591215825000003,0.250605,0.6329813186534036,63.29813186534036
270,CR,23.54,16.308,35,2,8,1.48,37.2,0.0148,0.3387406,0.2413584,0.7125168934577077,71.25168934577077
309,AR,23.406,12.381,35,2,8,2,34.4,0.02,0.40047666,0.24762,0.6183131870906036,61.831318709060355
82,PC,24.944,18.132,35,2,9,1.92,43.8,0.0192,0.46695168,0.3481344,0.7455469482409829,74.55469482409829
194,GM_PC,24.927,20.162,35,2,9,1.36,44.3,0.013600000000000001,0.39769906785000003,0.2742032,0.6894740827087407,68.94740827087406
280,CR,23.836,14.503,35,2,9,1.32,39.2,0.0132,0.34300004,0.1914396,0.5581328795180315,55.81328795180315
324,AR,23.05,13.547,35,2,9,1.91,37.5,0.0191,0.3943855,0.25874769999999997,0.6560781266045531,65.60781266045531
64,PC,24.097,16.529,35,2,10,2.33,45,0.0233,0.45109584,0.3851257,0.8537558227094268,85.37558227094269
136,GM_PC,24.819,20.054,35,2,10,1.64,44.2,0.016399999999999998,0.39597597645000004,0.32888559999999994,0.830569578863147,83.05695788631469
227,CR,22.49,13.585,35,2,10,1.5,40.4,0.015,0.3236311,0.203775,0.6296520946225502,62.965209462255025
302,AR,23.855,10.467,35,2,10,2.08,36.2,0.0208,0.40815905,0.2177136,0.5334038287280412,53.34038287280411
4,PC,23.471,17.322,63,1,1,1.72,38.7,0.0172,0.43937712,0.2979384,0.6780926598999966,67.80926598999966
127,GM_PC,24.703,20.393,63,1,1,1.57,37.9,0.015700000000000002,0.39412524865000004,0.32017010000000007,0.8123562271046602,81.23562271046602
221,CR,22.417,13.994,63,1,1,1.75,32,0.0175,0.32258063000000003,0.24489500000000003,0.7591745356812032,75.91745356812032
311,AR,23.446,12.011,63,1,1,1.87,36,0.0187,0.40116106,0.2246057,0.5598890879388941,55.988908793889415
90,PC,25.247,18.057,63,1,2,2.04,41.6,0.0204,0.47262384,0.3683628,0.7793995326177368,77.93995326177368
146,GM_PC,24.473,18.848,63,1,2,1.69,40.9,0.0169,0.39045570215000003,0.31853119999999996,0.815793438912645,81.5793438912645
228,CR,22.776,14.61,63,1,2,1.63,36.1,0.0163,0.32774664,0.23814299999999997,0.726606991302794,72.66069913027941
303,AR,23.976,12.633,63,1,2,1.49,25.1,0.0149,0.41022936,0.18823169999999997,0.45884502269657146,45.88450226965715
97,PC,23.902,13.725,63,1,4,1.97,32.9,0.0197,0.44744544,0.27038249999999997,0.6042803788546821,60.428037885468214
170,GM_PC,24.551,22.678,63,1,4,1.48,32.3,0.0148,0.39170015705,0.3356344,0.8568656252980688,85.68656252980688
218,CR,23.109,15.065,63,1,4,1.74,33.3,0.0174,0.33253851,0.26213099999999995,0.7882726123960799,78.82726123960799
343,AR,22.499,13.456,63,1,4,1.8,33.8,0.018000000000000002,0.38495788999999997,0.242208,0.6291805059509237,62.91805059509237
22,PC,24.076,16.434,63,2,6,2.03,39.5,0.0203,0.45070272,0.3336102,0.7402001035183458,74.02001035183457
116,GM_PC,23.125,17.888,63,2,6,1.76,40.3,0.0176,0.36894896875000005,0.3148288000000001,0.853312589723833,85.3312589723833
389,AR,23.998,12.342,63,2,6,2.24,33.5,0.022400000000000003,0.41060578000000003,0.27646080000000006,0.6732998254432756,67.32998254432756
70,PC,25.476,17.302,63,2,7,1.56,39.4,0.015600000000000001,0.47691072,0.2699112,0.565957502486,56.5957502486
157,GM_PC,24.978,19.517,63,2,7,1.65,41.5,0.0165,0.3985127499000001,0.3220305,0.8080807956101982,80.80807956101982
273,CR,23.094,12.616,63,2,7,1.88,38.8,0.018799999999999997,0.33232266,0.23718079999999997,0.7137063719940132,71.37063719940132
366,AR,23.022,10.791,63,2,7,1.81,35,0.0181,0.39390642,0.19531710000000002,0.4958464500273949,49.58464500273949
43,PC,25.332,18.272,63,2,8,2.25,44,0.0225,0.47421504000000003,0.41111999999999993,0.8669484628745641,86.6948462874564
189,GM_PC,24.415,19.866,63,2,8,1.69,41.6,0.0169,0.38953033825,0.33573539999999996,0.8618979499987636,86.18979499987636
205,CR,22.536,12.977,63,2,8,1.78,38.7,0.0178,0.32429304000000003,0.2309906,0.7122897241334565,71.22897241334564
357,AR,23.357,12.036,63,2,8,1.76,36.6,0.0176,0.39963827,0.2118336,0.5300633495385715,53.00633495385715
92,PC,24.821,17.711,63,2,9,2.07,38.5,0.0207,0.46464912,0.3666177,0.7890205409191348,78.90205409191347
190,GM_PC,24.735,18.978,63,2,9,1.57,38.4,0.015700000000000002,0.39463579425,0.29795460000000007,0.7550115938323809,75.50115938323809
233,CR,23.154,13.805,63,2,9,1.88,33.5,0.018799999999999997,0.33318606,0.25953399999999993,0.7789461539897555,77.89461539897556
382,AR,22.831,10.933,63,2,9,2.05,35.8,0.020499999999999997,0.39063841,0.22412649999999998,0.573744143593048,57.3744143593048
68,PC,24.646,16.178,63,2,10,2.14,41.1,0.021400000000000002,0.46137312,0.34620920000000005,0.7503887526000649,75.03887526000649
222,CR,23.061,9.177,63,2,10,1.59,37.8,0.0159,0.33184779,0.1459143,0.43970249131386413,43.97024913138641
316,AR,23.229,10.739,63,2,10,2.05,34.4,0.020499999999999997,0.39744819,0.2201495,0.5539074162093932,55.39074162093932
105,GM_PC,25.652,19.276,63,2,10,1.47,42.4,0.0147,0.40926611660000006,0.2833572,0.6923544083101844,69.23544083101844
