sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remain
12,PC,24.599,20.496,14,1,5,2.18,46,0.46,11.1900851,9.42816,0.842545871,84.25458713
174,GM_PC,24.784,22.073,14,1,5,1.2,44.6,0.446,10.69091546,9.844558,0.920833958,92.0833958
225,CR,22.993,18.401,14,1,5,1.26,42.4,0.424,9.8823914,7.802024,0.789487451,78.94874514
299,AR,22.364,15.676,14,1,5,1.6,40.5,0.405,9.2385684,6.34878,0.687203875,68.72038746
20,PC,25.37,22.009,14,2,6,1.37,45,0.45,11.540813,9.90405,0.858176109,85.81761094
178,GM_PC,24.712,22.816,14,2,6,1.33,37.6,0.376,10.65985728,8.578816,0.804777754,80.47777538
260,CR,22.604,18.465,14,2,6,1.18,39.5,0.395,9.7151992,7.293675,0.750748888,75.07488884
314,AR,22.97,17.596,14,2,6,1.2,41,0.41,9.488907,7.21436,0.760294099,76.02940992
72,PC,24.899,21.052,14,2,7,1.7,45.1,0.451,11.3265551,9.494452,0.838247103,83.8247103
165,GM_PC,24.496,22.741,14,2,7,1.76,43.4,0.434,10.56668275,9.869594,0.934029557,93.40295566
286,CR,23.07,17.881,14,2,7,1.24,41.1,0.411,9.915486,7.349091,0.74117305,74.11730499
347,AR,23.934,18.063,14,2,7,1.49,39.1,0.391,9.8871354,7.062633,0.714325506,71.43255063
88,PC,24.411,20.91,14,2,8,2.2,43.9,0.439,11.1045639,9.17949,0.826641197,82.66411975
185,GM_PC,24.751,22.67,14,2,8,1.57,43.7,0.437,10.67668046,9.90679,0.927890465,92.7890465
256,CR,23.209,17.046,14,2,8,1.24,41.8,0.418,9.9752282,7.125228,0.71429223,71.42922304
344,AR,23.047,16.924,14,2,8,1.41,39.3,0.393,9.5207157,6.651132,0.6985958,69.85957999
46,PC,24.49,20.09,14,2,9,1.57,44.2,0.442,11.140501,8.87978,0.797071873,79.70718732
167,GM_PC,24.704,22.329,14,2,9,1.45,44,0.44,10.65640637,9.82476,0.921958084,92.19580837
275,CR,22.673,18.186,14,2,9,0.95,41.8,0.418,9.7448554,7.601748,0.780078071,78.00780707
377,AR,22.947,17.605,14,2,9,1.56,40,0.4,9.4794057,7.042,0.742873575,74.28735749
79,PC,24.552,20.451,14,2,10,1.79,44.6,0.446,11.1687048,9.121146,0.816669987,81.66699867
119,GM_PC,24.043,21.092,14,2,10,1.4,44.2,0.442,10.37127503,9.322664,0.898892756,89.88927561
287,CR,23.488,17.821,14,2,10,1.29,42.2,0.422,10.0951424,7.520462,0.744958486,74.49584862
361,AR,22.545,14.164,14,2,10,1.41,40.8,0.408,9.3133395,5.778912,0.620498372,62.04983723
3,PC,24.081,18.301,35,1,1,1.49,42.4,0.424,10.9544469,7.759624,0.708353792,70.83537919
143,GM_PC,24.86,20.043,35,1,1,1.68,44.1,0.441,10.7236991,8.838963,0.824245712,82.42457123
289,CR,22.74,16.427,35,1,1,1.47,34.1,0.341,9.773652,5.601607,0.573133461,57.31334613
318,AR,23.61,14.397,35,1,1,1.67,28.1,0.281,9.753291,4.045557,0.414788916,41.47889159
1,PC,23.578,17.166,35,1,2,1.73,39.4,0.394,10.7256322,6.763404,0.630583249,63.0583249
173,GM_PC,24.743,22.277,35,1,2,1.42,34.6,0.346,10.67322955,7.707842,0.72216586,72.216586
242,CR,22.848,18.481,35,1,2,1.23,37.2,0.372,9.8200704,6.874932,0.700089889,70.00898894
334,AR,22.405,18.087,35,1,2,1.79,26.1,0.261,9.2555055,4.720707,0.510043131,51.00431305
18,PC,24.141,19.904,35,1,3,1.6,43,0.43,10.9817409,8.55872,0.779359127,77.93591269
155,GM_PC,24.533,21.675,35,1,3,1.38,42.4,0.424,10.5826432,9.1902,0.868421984,86.84219837
231,CR,22.712,16.531,35,1,3,1.5,35,0.35,9.7616176,5.78585,0.592714265,59.27142649
378,AR,22.992,17.141,35,1,3,1.7,30.4,0.304,9.4979952,5.210864,0.548627778,54.86277778
81,PC,23.526,21.464,35,1,4,1.41,38.8,0.388,10.7019774,8.328032,0.778176938,77.81769377
141,GM_PC,24.393,20.718,35,1,4,1.54,43.1,0.431,10.52225229,8.929458,0.848626107,84.86261068
199,CR,22.932,16.329,35,1,4,1.48,37.9,0.379,9.8561736,6.188691,0.627899959,62.78999591
350,AR,23.707,14.635,35,1,4,1.75,33.4,0.334,9.7933617,4.88809,0.499122788,49.91227884
24,PC,24.783,19.087,35,1,5,1.51,38.4,0.384,11.2737867,7.329408,0.650128319,65.01283194
164,GM_PC,24.477,20.878,35,1,5,1.29,42.7,0.427,10.55848684,8.914906,0.84433557,84.43355698
244,CR,22.986,17.387,35,1,5,1.27,34.2,0.342,9.8793828,5.946354,0.601895292,60.18952925
348,AR,23.156,14.896,35,1,5,1.83,31.4,0.314,9.5657436,4.677344,0.488968155,48.89681551
80,PC,24.857,18.47,35,2,6,1.8,43.1,0.431,11.3074493,7.96057,0.704011116,70.40111159
