soil_block,spp,row,term,estimate,std.error,statistic,p.value
1,AR,1,k,0.0188595471142999,0.0042084985252697354,4.481300635145437,0.02072094030349964
1,AR,2,k,0.020102178436520853,0.0026363247605815866,7.625076673818521,0.004682531104923684
1,AR,3,k,0.018307285353710782,0.002502084281827553,7.31681402048492,0.018171515633708855
1,AR,4,k,0.014884705573275103,0.0026076397895428206,5.708114147117204,0.010665339736838699
1,AR,5,k,0.02219655060080194,0.0035331765707471295,6.28232134917283,0.024413238312842398
1,CR,1,k,0.014675401174526485,0.0023923052983717023,6.134418205115853,0.008711417853277843
1,CR,2,k,0.011518487534390262,0.0031660874647917556,3.6380825427221333,0.03578984430498746
1,CR,3,k,0.01665634357397301,0.003686275539991972,4.518474919541496,0.04565181097722822
1,CR,4,k,0.011634175967584435,0.001253227308227296,9.283372530431933,0.0026454709288580313
1,CR,5,k,0.01504585693646157,0.0019550418482656234,7.69592576742498,0.016468191423030607
1,GM_PC,1,k,0.0052680041553940585,1.637281586568842e-4,32.17530935795788,6.597727702692088e-5
1,GM_PC,2,k,0.006246053608281408,0.0011252425715654057,5.55085078197146,0.01153033823141648
1,GM_PC,3,k,0.005673436739828676,0.0027418152114923036,2.0692265168157564,0.1744003589707321
1,GM_PC,4,k,0.005584810902607931,5.154521248471892e-4,10.834781026974333,0.0016820927682536116
1,GM_PC,5,k,0.005007331770453024,8.629787190592563e-4,5.802381518644605,0.02844107220846561
1,PC,1,k,0.008630730604523873,0.0013005730902634868,6.636098093322344,0.006971430902074397
1,PC,2,k,0.009205622533985576,0.0020196574451374467,4.558011833219119,0.019796064312075562
1,PC,3,k,0.008932010730581006,0.002789156221213932,3.202406040452443,0.08522861248987418
1,PC,4,k,0.011497739010781244,0.001989264468041668,5.779894627133312,0.01029873781172574
1,PC,5,k,0.012288740187548258,0.001033663660334313,11.888528792406001,0.007001067501571998
2,AR,6,k,0.014823195426581476,0.002177808424890024,6.806473543388016,0.020910528368903353
2,AR,7,k,0.018003108074277293,0.00270512220548022,6.655192152800113,0.006914642380660817
2,AR,8,k,0.017797149641955112,0.0036663054854910474,4.854246246633059,0.01668925238885849
2,AR,9,k,0.016234598687205105,0.0023454885678281766,6.9216277196514575,0.006182128641440992
2,AR,10,k,0.02262110784863142,0.004821172647303048,4.692034387377853,0.01830483781934989
2,CR,6,k,0.021991616920862014,0.0027124396952552215,8.107688793719985,0.014874119320356758
2,CR,7,k,0.014179569046125499,0.0025344425467075356,5.594748661612397,0.011279921053933417
2,CR,8,k,0.013007655965534881,0.002702912461768567,4.81245920817714,0.017087103606881104
2,CR,9,k,0.01432697587897272,0.001763503816147443,8.124153601363611,0.0038988935293476166
2,CR,10,k,0.017006348155754636,0.001571935252145336,10.81873323506475,0.0016894389928050152
2,GM_PC,6,k,0.006577964096332757,0.0015457600348146733,4.25548852873623,0.02378945101568584
2,GM_PC,7,k,0.005283026113256366,7.49857461004124e-4,7.045373805018805,0.005876581108727193
2,GM_PC,8,k,0.005804662473866435,0.0018266147558921111,3.1778252393627806,0.05017779232694057
2,GM_PC,9,k,0.005822968953922151,5.409967148292605e-4,10.763409082363632,0.001715093501206652
2,GM_PC,10,k,0.005118977411828446,0.00299971330036553,1.7064888871895434,0.16311015176185853
2,PC,6,k,0.009018111662041984,6.907715515601533e-4,13.055128923120794,9.705753067929975e-4
2,PC,7,k,0.009865393443274945,0.0011057583313926213,8.921835054907708,0.002970347088886238
2,PC,8,k,0.007221099478568764,0.0013426921591481926,5.378075256766114,0.012589646740846854
2,PC,9,k,0.009247749466059708,0.0013128369684837675,7.0440958687659405,0.005879633658128953
2,PC,10,k,0.009596670473065016,0.0011151084497572031,8.6060422868776,0.0032987055568067013
