bag_no,spp,initial_wt_g,coll_wt_g,days,soil_block,row
29,PC,24.609,20.337,28,1,A
166,GM_PC,24.475,20.362,28,1,A
241,CR,22.444,16.42,28,1,A
341,AR,23.358,15.982,28,1,A
96,PC,25.041,19.817,28,1,B
175,GM_PC,25.646,22.271,28,1,B
245,CR,22.72,17.656,28,1,B
375,AR,22.562,15.285,28,1,B
48,PC,24.179,19.269,28,1,D
134,GM_PC,23.088,21.068,28,1,D
293,CR,23.103,17.693,28,1,D
371,AR,22.879,17.263,28,1,D
69,PC,24.603,19.103,28,1,E
132,GM_PC,24.606,21.277,28,1,E
291,CR,23.759,17.286,28,1,E
383,AR,22.437,14.251,28,1,E
193,GM_PC,24.637,21.647,28,2,F
206,CR,22.949,16.252,28,2,F
274,CR,22.531,14.596,28,2,F
351,AR,22.624,12.94,28,2,F
8,PC,24.077,17.735,28,2,G
111,GM_PC,24.361,20.787,28,2,G
226,CR,22.832,14.557,28,2,G
312,AR,23.793,13.429,28,2,G
78,PC,25.068,17.01,28,2,H
179,GM_PC,24.875,19.248,28,2,H
229,CR,22.498,14.596,28,2,H
376,AR,22.661,12.436,28,2,H
91,PC,24.905,18.631,28,2,I
195,GM_PC,24.462,20.021,28,2,I
243,CR,23.302,16.829,28,2,I
340,AR,22.854,14.418,28,2,I
42,PC,25.549,18.29,28,2,J
153,GM_PC,25.083,21.032,28,2,J
202,CR,23.243,16.137,28,2,J
353,AR,23.101,12.535,28,2,J
3,PC,24.081,18.301,35,1,A
143,GM_PC,24.86,20.043,35,1,A
289,CR,22.74,16.427,35,1,A
318,AR,23.61,14.397,35,1,A
1,PC,23.578,17.166,35,1,B
173,GM_PC,24.743,22.277,35,1,B
242,CR,22.848,18.481,35,1,B
334,AR,22.405,18.087,35,1,B
18,PC,24.141,19.904,35,1,C
155,GM_PC,24.533,21.675,35,1,C
231,CR,22.712,16.531,35,1,C
378,AR,22.992,17.141,35,1,C
81,PC,23.526,21.464,35,1,D
141,GM_PC,24.393,20.718,35,1,D
199,CR,22.932,16.329,35,1,D
350,AR,23.707,14.635,35,1,D
24,PC,24.783,19.087,35,1,E
164,GM_PC,24.477,20.878,35,1,E
244,CR,22.986,17.387,35,1,E
348,AR,23.156,14.896,35,1,E
80,PC,24.857,18.47,35,2,F
187,GM_PC,24.522,20.21,35,2,F
359,CR,22.751,13.387,35,2,F
93,PC,25.115,16.613,35,2,G
129,GM_PC,24.729,19.818,35,2,G
265,CR,22.356,13.579,35,2,G
368,AR,22.724,12.361,35,2,G
19,PC,25.155,18.18,35,2,H
142,GM_PC,24.815,16.707,35,2,H
270,CR,23.54,16.308,35,2,H
309,AR,23.406,12.381,35,2,H
82,PC,24.944,18.132,35,2,I
194,GM_PC,24.927,20.162,35,2,I
280,CR,23.836,14.503,35,2,I
324,AR,23.05,13.547,35,2,I
64,PC,24.097,16.529,35,2,J
136,GM_PC,24.819,20.054,35,2,J
227,CR,22.49,13.585,35,2,J
302,AR,23.855,10.467,35,2,J
30,PC,24.067,16.895,49,1,A
162,GM_PC,24.353,20.744,49,1,A
219,CR,22.911,15.7,49,1,A
330,AR,22.488,13.847,49,1,A
32,PC,24.71,18.209,49,1,B
100,GM_PC,25.674,22.196,49,1,B
208,CR,22.944,18.878,49,1,B
391,AR,22.904,21.791,49,1,B
76,PC,24.64,17.718,49,1,C
177,GM_PC,24.728,20.707,49,1,C
220,CR,23.066,14.157,49,1,C
306,AR,23.012,13.922,49,1,C
36,PC,24.914,20.59,49,1,D
114,GM_PC,25.328,21.457,49,1,D
296,CR,23.99,14.636,49,1,D
317,AR,22.923,13.311,49,1,D
38,PC,24.717,20.36,49,1,E
113,GM_PC,22.788,17.695,49,1,E
277,CR,23.509,16.01,49,1,E
370,AR,23.38,13.493,49,1,E
87,PC,25.245,18.435,49,2,F
107,GM_PC,25.224,21.225,49,2,F
209,CR,22.986,13.707,49,2,F
320,AR,22.818,11.996,49,2,F
40,PC,24.79,16.901,49,2,G
115,GM_PC,25.033,19.963,49,2,G
297,CR,22.741,12.152,49,2,G
374,AR,22.659,9.281,49,2,G
45,PC,24.484,18.26,49,2,H
108,GM_PC,22.206,18.072,49,2,H
268,CR,22.624,14.545,49,2,H
89,PC,23.782,17.088,49,2,I
104,GM_PC,22.371,17.655,49,2,I
278,CR,23.217,12.678,49,2,I
356,AR,23.124,12.836,49,2,I
60,PC,24.231,17.604,49,2,J
172,GM_PC,24.562,20.849,49,2,J
269,CR,23.089,15.146,49,2,J
390,AR,23.324,9.912,49,2,J
4,PC,23.471,17.322,63,1,A
127,GM_PC,24.703,20.393,63,1,A
221,CR,22.417,13.994,63,1,A
311,AR,23.446,12.011,63,1,A
90,PC,25.247,18.057,63,1,B
146,GM_PC,24.473,18.848,63,1,B
228,CR,22.776,14.61,63,1,B
303,AR,23.976,12.633,63,1,B
97,PC,23.902,13.725,63,1,D
170,GM_PC,24.551,22.678,63,1,D
218,CR,23.109,15.065,63,1,D
343,AR,22.499,13.456,63,1,D
22,PC,24.076,16.434,63,2,F
116,GM_PC,23.125,17.888,63,2,F
389,AR,23.998,12.342,63,2,F
70,PC,25.476,17.302,63,2,G
157,GM_PC,24.978,19.517,63,2,G
273,CR,23.094,12.616,63,2,G
366,AR,23.022,10.791,63,2,G
43,PC,25.332,18.272,63,2,H
189,GM_PC,24.415,19.866,63,2,H
205,CR,22.536,12.977,63,2,H
357,AR,23.357,12.036,63,2,H
92,PC,24.821,17.711,63,2,I
190,GM_PC,24.735,18.978,63,2,I
233,CR,23.154,13.805,63,2,I
382,AR,22.831,10.933,63,2,I
68,PC,24.646,16.178,63,2,J
222,CR,23.061,9.177,63,2,J
316,AR,23.229,10.739,63,2,J
105,GM_PC,25.652,19.276,63,2,J
55,PC,25.31,19.487,84,1,A
101,GM_PC,25.798,21.533,84,1,A
288,CR,22.687,13.452,84,1,A
304,AR,22.977,12.47,84,1,A
5,PC,23.862,16.705,84,1,B
150,GM_PC,24.596,18.173,84,1,B
204,CR,23.265,17.936,84,1,B
355,AR,23.567,19.784,84,1,B
27,PC,24.276,17.073,84,1,C
169,GM_PC,24.833,19.505,84,1,C
262,CR,22.881,13.445,84,1,C
328,AR,22.562,10,84,1,C
75,PC,23.539,12.573,84,1,D
186,GM_PC,24.628,20.471,84,1,D
210,CR,22.494,16.815,84,1,D
380,AR,22.423,11.608,84,1,D
61,PC,24.815,17.16,84,1,E
128,GM_PC,24.08,20.394,84,1,E
230,CR,22.986,14.083,84,2,E
322,AR,22.908,10.747,84,1,E
15,PC,23.631,17.806,84,2,F
120,GM_PC,22.087,17.049,84,2,F
257,CR,22.465,12.51,84,2,F
