spp,data,fit,days,pct_c_remain,.fitted,.resid
GM_PC,,,63,73.0226981596828,69.94393177084332,3.078766388839483
GM_PC,,,0,103.07724598167869,100,3.0772459816786863
GM_PC,,,14,81.59679264645538,92.3634208143269,-10.766628167871517
GM_PC,,,35,86.84219837480778,81.98794916839296,4.854249206414821
GM_PC,,,0,103.4789981600944,100,3.478998160094406
GM_PC,,,14,90.67304247080388,92.3634208143269,-1.6903783435230224
GM_PC,,,35,84.86261068281793,81.98794916839296,2.8746615144249716
GM_PC,,,63,69.16630763746224,69.94393177084332,-0.7776241333810816
GM_PC,,,0,103.71682518741734,100,3.716825187417342
GM_PC,,,14,92.08339580107388,92.3634208143269,-0.28002501325302376
GM_PC,,,35,84.4335569808234,81.98794916839296,2.4456078124304383
PC,,,0,96.66529648914069,100,-3.3347035108593133
PC,,,14,85.81761094300721,87.6823774737036,-1.8647665306963859
PC,,,35,70.40111159286825,71.99142872675407,-1.5903171338858186
PC,,,63,59.270706878208024,55.348445334261896,3.922261543946128
PC,,,0,97.91543241698668,100,-2.0845675830133246
PC,,,14,83.82471030401821,87.6823774737036,-3.857667169685385
PC,,,35,65.43520382192672,71.99142872675407,-6.556224904827346
PC,,,63,58.822753830595886,55.348445334261896,3.4743084963339896
PC,,,0,101.74950449729477,100,1.7495044972947653
PC,,,14,82.6641197498985,87.6823774737036,-5.0182577238050925
PC,,,35,71.9700529830024,71.99142872675407,-0.021375743751661958
PC,,,63,69.76752985032324,55.348445334261896,14.419084516061346
PC,,,0,96.48769196175012,100,-3.512308038249884
PC,,,14,79.70718731590259,87.6823774737036,-7.975190157801009
PC,,,35,69.99028890883969,71.99142872675407,-2.0011398179143782
PC,,,63,60.39049663739217,55.348445334261896,5.042051303130272
PC,,,0,97.76852900891151,100,-2.231470991088486
PC,,,14,81.66699866577187,87.6823774737036,-6.015378807931725
PC,,,35,67.85473815878235,71.99142872675407,-4.136690567971712
PC,,,63,59.306770014203494,55.348445334261896,3.9583246799415974
PC,,,0,95.3459889449512,100,-4.654011055048798
PC,,,14,81.1291158082819,87.6823774737036,-6.553261665421701
PC,,,35,70.83537919198821,71.99142872675407,-1.156049534765856
PC,,,63,62.78580530883239,55.348445334261896,7.437359974570491
PC,,,0,96.18229507388992,100,-3.817704926110082
PC,,,14,80.29125055991653,87.6823774737036,-7.391126913787062
PC,,,35,63.05832489762235,71.99142872675407,-8.933103829131717
PC,,,63,65.40534062917595,55.348445334261896,10.056895294914057
PC,,,0,97.85519499283946,100,-2.1448050071605422
PC,,,14,78.33270694019954,87.6823774737036,-9.349670533504053
PC,,,35,77.93591269304122,71.99142872675407,5.944483966287152
PC,,,0,103.2670397607031,100,3.267039760703099
PC,,,14,81.3966324717547,87.6823774737036,-6.2857450019488965
PC,,,35,77.81769376563996,71.99142872675407,5.826265038885893
PC,,,63,41.52963098623253,55.348445334261896,-13.818814348029363
PC,,,0,96.2530961670854,100,-3.7469038329145974
PC,,,14,84.25458712552596,87.6823774737036,-3.4277903481776377
PC,,,35,65.01283193516514,71.99142872675407,-6.978596791588927
