spp,data,fit,days,pct_c_remain,.fitted,.resid
AR,,,0,93.8919056013182,100,-6.1080943986818
AR,,,14,76.0294099204471,77.5255094195899,-1.496099499142801
AR,,,63,41.706150409653475,31.80539759413318,9.900752815520296
AR,,,0,91.3163645663106,100,-8.683635433689403
AR,,,14,71.43255062533076,77.5255094195899,-6.092958794259133
AR,,,35,48.720905909700576,52.91899303587056,-4.19808712616998
AR,,,63,39.71288995332494,31.80539759413318,7.90749235919176
AR,,,0,94.34171171139072,100,-5.658288288609285
AR,,,14,69.8595799893489,77.5255094195899,-7.665929430240993
AR,,,35,44.04856559072086,52.91899303587056,-8.870427445149694
AR,,,63,45.65527980350089,31.80539759413318,13.84988220936771
AR,,,0,90.02192774799846,100,-9.978072252001539
AR,,,14,74.28735748697832,77.5255094195899,-3.238151932611572
AR,,,35,53.35170141005708,52.91899303587056,0.4327083741865252
AR,,,63,41.49944089935095,31.80539759413318,9.694043305217772
AR,,,0,94.05310743914352,100,-5.946892560856483
AR,,,14,62.049837225411984,77.5255094195899,-15.47567219417791
AR,,,35,38.44998536455501,52.91899303587056,-14.469007671315545
AR,,,63,38.49785886157483,31.80539759413318,6.692461267441647
AR,,,0,92.23657165018422,100,-7.763428349815783
AR,,,14,68.66017719782334,77.5255094195899,-8.86533222176655
AR,,,35,41.4788915864399,52.91899303587056,-11.440101449430657
AR,,,63,44.64344620197116,31.80539759413318,12.83804860783798
AR,,,0,92.60277044651777,100,-7.397229553482234
AR,,,14,66.53554459715326,77.5255094195899,-10.989964822436633
AR,,,35,51.00431305453817,52.91899303587056,-1.9146799813323838
AR,,,63,32.0146156807982,31.80539759413318,0.20921808666502173
AR,,,0,93.76522081119178,100,-6.2347791888082185
AR,,,14,73.69167858601539,77.5255094195899,-3.8338308335745097
AR,,,35,54.86277777862006,52.91899303587056,1.9437847427495
AR,,,0,93.84525455928308,100,-6.154745440716923
AR,,,14,77.30230746713772,77.5255094195899,-0.22320195245217178
AR,,,35,49.912278844964945,52.91899303587056,-3.006714190905612
AR,,,63,48.93440004310581,31.80539759413318,17.12900244897263
AR,,,0,92.1519030355546,100,-7.8480969644454035
AR,,,14,68.72038745743335,77.5255094195899,-8.805121962156548
AR,,,35,48.89681550736945,52.91899303587056,-4.022177528501103
CR,,,0,92.87488025498844,100,-7.12511974501156
CR,,,14,75.07488884015882,81.77358095875917,-6.6986921186003485
CR,,,35,45.31524741961853,60.46896581629449,-15.153718396675963
CR,,,0,91.41171025304442,100,-8.588289746955581
CR,,,14,74.11730499140435,81.77358095875917,-7.656275967354816
CR,,,35,54.973941701112864,60.46896581629449,-5.495024115181629
CR,,,63,49.31599879312512,40.435104878205216,8.880893914919902
