sp,emmean,SE,df,lower.CL,upper.CL
ar,0.010042367265226122,4.889670011846679e-4,32,0.009046374076661378,0.011038360453790867
cr,0.008737689099676949,4.889670011846677e-4,32,0.007741695911112205,0.009733682288241693
gm_pc,0.004921340940146078,4.889670011846677e-4,32,0.003925347751581333,0.005917334128710823
pc,0.00609217874932688,4.889670011846675e-4,32,0.005096185560762136,0.0070881719378916245
