trt,emmean,SE,df,lower.CL,upper.CL,.group
gm_pc_1,0.005101917039677859,7.290294758928665e-4,32,0.0029679138925511597,0.007235920186804559, a   
gm_pc_2,0.0054441772796388534,7.290294758928665e-4,32,0.003310174132512154,0.007578180426765553, a   
pc_2,0.006272291862813569,7.290294758928667e-4,32,0.004138288715686869,0.008406295009940268, ab  
cr_1,0.007511785393550007,7.290294758928667e-4,32,0.0053777822464233065,0.009645788540676707, ab  
pc_1,0.008246825794977044,7.290294758928671e-4,32,0.006112822647850342,0.010380828942103744, abc 
cr_2,0.009684355881517883,7.290294758928667e-4,32,0.007550352734391183,0.011818359028644584,  bcd
ar_1,0.011315779717934812,7.290294758928666e-4,32,0.009181776570808112,0.013449782865061512,   cd
ar_2,0.012821263018105909,7.290294758928665e-4,32,0.01068725987097921,0.014955266165232607,    d
