spp,emmean,SE,df,lower.CL,upper.CL,.group
gm_pc,0.005596396523572942,4.797676824296447e-4,32,0.00432653363970951,0.006866259407436374, a   
pc,0.009249198089321412,4.7976768242964456e-4,32,0.007979335205457981,0.010519060973184842,  b  
cr,0.013975866494039146,4.797676824296446e-4,32,0.012706003610175714,0.015245729377902579,   c 
ar,0.0179463110825152,4.797676824296448e-4,32,0.01667644819865177,0.01921617396637863,    d
