spp,soil_block,days,pct_mass_remain,.fitted,.resid
CR,2,14,73.44564608557025,86.01425993712114,-12.568613851550893
CR,2,21,69.23213650906506,79.77295606601034,-10.54081955694528
CR,2,28,64.8768779447062,73.98452912530642,-9.107651180600229
CR,2,35,69.27782497875955,68.61611779014358,0.6617071886159778
CR,2,49,64.29013437057992,59.01964591477532,5.270488455804603
CR,2,63,57.58342208022719,50.76531165110334,6.818110429123848
CR,2,84,54.1084229390681,40.496989760207896,13.611433178860203
CR,2,0,93.87310440997038,100,-6.126895590029619
CR,2,7,89.69266517602699,92.74387307909949,-3.051207903072495
CR,2,14,80.20994133991974,86.01425993712114,-5.8043185972014015
CR,2,21,73.66740576496673,79.77295606601034,-6.105550301043607
CR,2,28,72.22126856063858,73.98452912530642,-1.7632605646678456
CR,2,35,60.84494042624602,68.61611779014358,-7.771177363897557
CR,2,49,54.60653831244347,59.01964591477532,-4.4131076023318485
CR,2,63,59.62252742506694,50.76531165110334,8.857215773963603
CR,2,84,53.81051145139226,40.496989760207896,13.313521691184363
CR,2,0,92.29215896885071,100,-7.707841031149286
CR,2,7,87.36011662307594,92.74387307909949,-5.383756456023548
CR,2,14,75.87278610354224,86.01425993712114,-10.1414738335789
CR,2,21,72.77291452111226,79.77295606601034,-7.000041544898082
CR,2,28,69.42735447231425,73.98452912530642,-4.557174652992174
CR,2,35,60.404624277456655,68.61611779014358,-8.211493512686921
CR,2,49,65.59833687037117,59.01964591477532,6.578690955595853
CR,2,63,39.79445817614153,50.76531165110334,-10.970853474961807
CR,2,84,53.24520293571492,40.496989760207896,12.748213175507026
GM_PC,2,0,99.37436932391525,100,-0.6256306760847536
GM_PC,2,7,93.79340800513872,96.97191358523676,-3.1785055800980473
GM_PC,2,14,92.32761411460018,94.03552024382627,-1.7079061292260889
GM_PC,2,21,90.06147540983608,91.18804343027104,-1.1265680204349593
GM_PC,2,28,87.86378211632909,88.42679067527061,-0.5630085589415188
GM_PC,2,35,82.4157899029443,85.74915103982161,-3.333361136877315
GM_PC,2,49,84.14605137963844,80.63466028496063,3.511391094677805
GM_PC,2,63,77.35351351351352,75.82522229580468,1.5282912177088406
GM_PC,2,84,77.19020238149137,69.14353663819793,8.046665743293445
GM_PC,2,0,98.65711361310132,100,-1.3428863868986838
GM_PC,2,7,94.15035049552816,96.97191358523676,-2.8215630897086044
GM_PC,2,14,92.83556499020249,94.03552024382627,-1.1999552536237843
GM_PC,2,21,89.14586070959265,91.18804343027104,-2.042182720678383
GM_PC,2,28,85.32900948236936,88.42679067527061,-3.0977811929012518
GM_PC,2,35,80.1407254640301,85.74915103982161,-5.6084255757915145
GM_PC,2,49,79.74673431070987,80.63466028496063,-0.8879259742507628
GM_PC,2,63,78.1367603491072,75.82522229580468,2.3115380533025274
GM_PC,2,84,77.00817505185668,69.14353663819793,7.864638413658753
GM_PC,2,0,100.2458984900296,100,0.24589849002960307
GM_PC,2,7,90.74383802816902,96.97191358523676,-6.22807555706774
GM_PC,2,14,91.59225889863036,94.03552024382627,-2.443261345195907
GM_PC,2,21,87.81507632834997,91.18804343027104,-3.3729671019210627
GM_PC,2,28,77.37889447236182,88.42679067527061,-11.047896202908788
GM_PC,2,35,67.32621398347773,85.74915103982161,-18.422937056343883
GM_PC,2,49,81.38340988921912,80.63466028496063,0.7487496042584922
GM_PC,2,63,81.36801146835961,75.82522229580468,5.542789172554933
GM_PC,2,84,74.17879918180725,69.14353663819793,5.035262543609321
GM_PC,2,0,99.92144231902274,100,-0.07855768097725502
GM_PC,2,7,94.40593856375344,96.97191358523676,-2.5659750214833252
GM_PC,2,14,90.38617227979276,94.03552024382627,-3.6493479640335096
GM_PC,2,21,88.32075774602664,91.18804343027104,-2.8672856842443935
GM_PC,2,28,81.84531109475923,88.42679067527061,-6.581479580511385
GM_PC,2,35,80.8841818108878,85.74915103982161,-4.864969228933816
GM_PC,2,49,78.91913638192304,80.63466028496063,-1.7155239030375924
GM_PC,2,63,76.72528805336569,75.82522229580468,0.9000657575610091
GM_PC,2,0,109.16623059480202,100,9.166230594802016
GM_PC,2,7,94.66420966420966,96.97191358523676,-2.307703921027098
GM_PC,2,14,87.72615730150147,94.03552024382627,-6.309362942324796
GM_PC,2,21,87.13591257884377,91.18804343027104,-4.052130851427265
GM_PC,2,28,83.84961926404338,88.42679067527061,-4.577171411227226
GM_PC,2,35,80.80099923445746,85.74915103982161,-4.948151805364148
GM_PC,2,49,84.88315283771679,80.63466028496063,4.2484925527561614
GM_PC,2,63,75.14423826602213,75.82522229580468,-0.6809840297825502
GM_PC,2,84,76.4272782136391,69.14353663819793,7.283741575441169
PC,2,0,96.6440513690332,100,-3.355948630966793
PC,2,7,91.01874555089772,95.48838532000384,-4.469639769106124
