Bag #,species,Initial weight,Collection Weight,T ,Soil Type ,Row
140,GM_PC,24.657,,,,
141,GM_PC,24.393,,,,
142,GM_PC,24.815,,,,
143,GM_PC,24.86,,,,
144,GM_PC,24.843,,,,
146,GM_PC,24.473,,,,
148,GM_PC,24.25,,,,
149,GM_PC,24.891,,,,
150,GM_PC,24.596,,,,
152,GM_PC,24.282,,,,
153,GM_PC,25.083,,,,
154,GM_PC,24.979,,,,
155,GM_PC,24.533,,,,
156,GM_PC,24.764,,,,
157,GM_PC,24.978,,,,
158,GM_PC,24.811,,,,
160,GM_PC,24.556,,,,
161,GM_PC,24.421,,,,
162,GM_PC,24.353,,,,
163,GM_PC,24.89,,,,
164,GM_PC,24.477,,,,
165,GM_PC,24.496,,,,
166,GM_PC,24.475,,,,
167,GM_PC,24.704,,,,
169,GM_PC,24.833,,,,
170,GM_PC,24.551,,,,
171,GM_PC,24.995,,,,
172,GM_PC,24.562,,,,
173,GM_PC,24.743,,,,
174,GM_PC,24.784,,,,
175,GM_PC,25.646,,,,
177,GM_PC,24.728,,,,
178,GM_PC,24.712,,,,
179,GM_PC,24.875,,,,
180,GM_PC,24.482,,,,
181,GM_PC,24.4,,,,
182,GM_PC,24.296,,,,
184,GM_PC,24.916,,,,
185,GM_PC,24.751,,,,
186,GM_PC,24.628,,,,
187,GM_PC,24.522,,,,
188,GM_PC,24.679,,,,
189,GM_PC,24.415,,,,
190,GM_PC,24.735,,,,
191,GM_PC,24.534,,,,
192,GM_PC,24.924,,,,
193,GM_PC,24.637,,,,
194,GM_PC,24.927,,,,
195,GM_PC,24.462,,,,
197,GM_PC,24.745,,,,
199,CR,22.932,,,,
201,CR,22.603,,,,
202,CR,23.243,,,,
203,CR,23.274,,,,
204,CR,23.265,,,,
205,CR,22.536,,,,
206,CR,22.949,,,,
208,CR,22.944,,,,
209,CR,22.986,,,,
210,CR,22.494,,,,
212,CR,22.444,,,,
213,CR,22.839,,,,
214,CR,22.993,,,,
216,CR,22.674,,,,
217,CR,22.836,,,,
218,CR,23.109,,,,
219,CR,22.911,,,,
220,CR,23.066,,,,
221,CR,22.417,,,,
222,CR,23.061,,,,
224,CR,22.435,,,,
225,CR,22.993,,,,
226,CR,22.832,,,,
227,CR,22.49,,,,
228,CR,22.776,,,,
229,CR,22.498,,,,
230,CR,22.986,,,,
231,CR,22.712,,,,
232,CR,22.504,,,,
233,CR,23.154,,,,
234,CR,22.443,,,,
237,CR,22.465,,,,
238,CR,22.586,,,,
241,CR,22.444,,,,
242,CR,22.848,,,,
243,CR,23.302,,,,
244,CR,22.986,,,,
245,CR,22.72,,,,
247,CR,22.32,,,,
248,CR,22.668,,,,
249,CR,22.318,,,,
250,CR,23.175,,,,
251,CR,23.315,,,,
252,CR,23.457,,,,
254,CR,23.325,,,,
256,CR,23.209,,,,
257,CR,22.465,,,,
259,CR,22.751,,,,
260,CR,22.604,,,,
262,CR,22.881,,,,
263,CR,23.028,,,,
264,CR,22.98,,,,
265,CR,22.356,,,,
266,CR,22.661,,,,
268,CR,22.624,,,,
269,CR,23.089,,,,
270,CR,23.54,,,,
271,CR,23.304,,,,
273,CR,23.094,,,,
274,CR,22.531,,,,
275,CR,22.673,,,,
277,CR,23.509,,,,
278,CR,23.217,,,,
279,CR,23.119,,,,
280,CR,23.836,,,,
281,CR,22.55,,,,
282,CR,23.044,,,,
285,CR,22.368,,,,
286,CR,23.07,,,,
287,CR,23.488,,,,
288,CR,22.687,,,,
289,CR,22.74,,,,
291,CR,23.759,,,,
292,CR,23.01,,,,
293,CR,23.103,,,,
295,CR,22.618,,,,
296,CR,23.99,,,,
297,CR,22.741,,,,
298,AR,23.602,,,,
299,AR,22.364,,,,
301,AR,23.783,,,,
302,AR,23.855,,,,
303,AR,23.976,,,,
304,AR,22.977,,,,
305,AR,23.056,,,,
306,AR,23.012,,,,
307,AR,22.661,,,,
309,AR,23.406,,,,
311,AR,23.446,,,,
312,AR,23.793,,,,
313,AR,23.972,,,,
